State,Park,RecreationVisitors,RecreationVisitors%,RecreationVisitorDays,RecreationVisitorDays%,NonRecreationVisitors,NonRecreationVisitors%,RecreationVisitorHours,RecreationVisitorHours%,NonRecreationVisitorHours,NonRecreationVisitorHours%
Georgia,Fort Frederica NM,243027,-0.1503,20439,-0.1503,1800,0.0,245274,-0.1503,444,0.0
Georgia,Fort Pulaski NM,356993,-0.2032,59521,-0.2034,53563,-0.3079,714256,-0.2034,13390,-0.3079
Georgia,Jimmy Carter NHP,33031,-0.19399999999999998,3334,-0.18460000000000001,0,,40018,-0.1845,0,
Georgia,Kennesaw Mountain NBP,1495856,-0.0022,211836,-0.040999999999999995,34925537,-0.0006,2542038,-0.040999999999999995,5588084,-0.0006
Georgia,"Martin Luther King, Jr. NHP",1159438,1.41,159763,1.6095,0,,1917163,1.6095,0,
Georgia,Ocmulgee Mounds NHP,141905,-0.2157,17738,-0.2157,0,,212858,-0.2157,0,
Guam,War in the Pacific NHP,373974,-0.1,31347,-0.11109999999999999,794,1.3844,376174,-0.11109999999999999,396,1.3571
Hawaii,Haleakala NP,732477,-0.07429999999999999,183241,-0.0953,20160,0.0,2198894,-0.0953,20160,0.0
Hawaii,Hawaii Volcanoes NP,1433593,-0.1152,764915,-0.1057,1881779,0.0016,9178984,-0.1057,620988,0.0016
Hawaii,Kalaupapa NHP,30774,-0.345,5952,-0.30219999999999997,0,,71425,-0.3023,0,
Hawaii,Kaloko Honokohau NHP,351422,0.20190000000000002,63279,0.1962,0,,759353,0.1963,0,
Hawaii,Pearl Harbor NMEM,1588798,-0.061399999999999996,397199,-0.061399999999999996,0,,4766394,-0.061399999999999996,0,
Hawaii,Pu'uhonua o Honaunau NHP,454268,0.33020000000000005,37855,0.33020000000000005,0,,454268,0.33020000000000005,0,
Hawaii,Pu'ukohola Heiau NHS,27507,0.1858,1146,0.1863,234670,-0.0089,13754,0.1859,39097,-0.0089
Idaho,City of Rocks NRES,89949,-0.0229,26337,-0.0191,0,,316045,-0.0191,0,
Idaho,Craters of the Moon NM & PRES,314118,0.2194,74144,0.1779,0,,889737,0.1779,0,
Idaho,Hagerman Fossil Beds NM,39104,0.16920000000000002,4888,0.16940000000000002,0,,58658,0.1693,0,
Idaho,Minidoka NHS,9530,0.052000000000000005,1038,-0.0317,0,,12467,-0.031,0,
Idaho,Nez Perce NHP,342924,-0.0913,23110,-0.054299999999999994,1800,0.0,277331,-0.054299999999999994,180,0.0
Illinois,Emmett Till and Mamie Till-Mobley NM,1754,,36,,0,,438,,0,
Illinois,Lincoln Home NHS,154522,-0.0277,11577,-0.0166,127,0.36560000000000004,138933,-0.0166,502,-0.32530000000000003
Illinois,Pullman NHP,31961,0.09390000000000001,1331,0.09369999999999999,0,,15979,0.09390000000000001,0,
Indiana,George Rogers Clark NHP,166621,0.1444,18605,0.1444,0,,223271,0.1444,0,
Indiana,Indiana Dunes NP,2705209,-0.0219,615094,-0.0361,3943,0.0,7381135,-0.0361,1968,0.0
Indiana,Lincoln Boyhood NMEM,129904,0.0072,12178,0.0072,16200,0.0,146141,0.0072,2700,0.0
Iowa,Effigy Mounds NM,61975,0.0029,12911,0.003,1200,0.0,154941,0.003,204,0.0
Iowa,Herbert Hoover NHS,148031,0.34909999999999997,12335,0.349,1350,-0.925,148031,0.34909999999999997,225,-0.8125
Kansas,Brown v. Board of Education NHP,21919,0.1643,3653,0.16449999999999998,0,,43838,0.1643,0,
Kansas,Fort Larned NHS,26219,0.0040999999999999995,4369,0.0039000000000000003,0,,52438,0.0040999999999999995,0,
Kansas,Fort Scott NHS,24654,-0.0329,3081,-0.033,426,-0.22829999999999998,36981,-0.0329,141,-0.221
Kansas,Nicodemus NHS,7535,0.005699999999999999,549,-0.1202,0,,6594,-0.1199,0,
Kansas,Tallgrass Prairie NPRES,29955,0.040999999999999995,4992,0.0409,0,,59910,0.040999999999999995,0,
Kentucky,Abraham Lincoln Birthplace NHP,249166,0.0384,20763,0.0384,0,,249166,0.0384,0,
Kentucky,Big South Fork NRRA,319636,0.0178,189136,-0.0017000000000000001,0,,2269634,-0.0017000000000000001,0,
Kentucky,Camp Nelson NM,34716,1.1172,2169,1.1161,0,,26036,1.1167,0,
Kentucky,Cumberland Gap NHP,678202,-0.08539999999999999,133643,-0.09230000000000001,5748931,0.0141,1603723,-0.09230000000000001,2874468,0.0141
Kentucky,Mammoth Cave NP,747042,0.14150000000000001,485605,0.1245,110001,-0.0039000000000000003,5827267,0.1245,55002,-0.0039000000000000003
Kentucky,Mill Springs Battlefield NM,8579,-0.062400000000000004,1484,-0.1012,0,,17808,-0.1012,0,
Louisiana,Cane River Creole NHP,12592,0.0761,2098,0.0759,0,,25185,0.0761,0,
